,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
586,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,1.777.777.800,PENGEMBANGAN
587,TURI,Tunas Ridean Tbk.,06 Mei 1995,5.580.000.000,UTAMA
588,ULTJ,Ultra Jaya Milk Industry & Tra,02 Jul 1990,11.553.528.000,UTAMA
589,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,UTAMA
590,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,PENGEMBANGAN
591,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,2.500.162.344,UTAMA
592,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,UTAMA
593,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,7.630.000.000,UTAMA
594,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.203.660.000,PENGEMBANGAN
595,VICO,Victoria Investama Tbk.,08 Jul 2013,9.150.094.680,UTAMA
596,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.453.582.700,PENGEMBANGAN
597,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,UTAMA
598,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,UTAMA
599,VRNA,Verena Multi Finance Tbk.,25 Jun 2008,2.585.160.908,PENGEMBANGAN
600,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,520.000.000,PENGEMBANGAN
601,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,UTAMA
602,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,886.411.265,UTAMA
603,WICO,Wicaksana Overseas Internation,08 Ags 1994,1.268.950.977,PENGEMBANGAN
604,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,UTAMA
605,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,8.969.951.372,UTAMA
606,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,4.238.011.640,UTAMA
607,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,UTAMA
608,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.306.250.000,PENGEMBANGAN
609,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,26.361.157.534,PENGEMBANGAN
610,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,13.573.951.000,UTAMA
611,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,UTAMA
612,YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,380.000.000,PENGEMBANGAN
613,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,PENGEMBANGAN
614,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,PENGEMBANGAN
615,ZBRA,Zebra Nusantara Tbk,01 Ags 1991,856.133.009,PENGEMBANGAN
616,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,5.050.000.000,PENGEMBANGAN
617,ZONE,Mega Perintis Tbk.,12 Des 2018,797.000.000,PENGEMBANGAN
